iter	Passed	Remaining
398	5428	8177
399	5435	8153
400	5441	8128
401	5446	8102
402	5452	8077
403	5458	8052
404	5463	8026
405	5468	8001
406	5476	7978
407	5481	7954
408	5488	7930
409	5494	7906
410	5504	7887
411	5512	7866
412	5519	7844
413	5528	7824
414	5536	7804
415	5549	7790
416	5555	7767
417	5561	7743
418	5570	7724
419	5578	7703
420	5583	7678
421	5591	7658
422	5596	7633
423	5602	7610
424	5610	7590
425	5616	7567
426	5623	7545
427	5628	7522
428	5634	7499
429	5640	7477
430	5651	7460
431	5657	7439
432	5664	7417
433	5672	7398
434	5677	7374
435	5684	7352
436	5689	7329
437	5694	7306
438	5700	7284
439	5706	7263
440	5712	7240
441	5718	7219
442	5723	7196
443	5730	7175
444	5736	7154
445	5741	7131
446	5746	7109
447	5751	7086
448	5756	7064
449	5764	7044
450	5769	7023
451	5776	7003
452	5781	6981
453	5788	6960
454	5794	6940
455	5799	6919
456	5807	6900
457	5814	6881
458	5819	6859
459	5824	6837
460	5829	6815
461	5834	6794
462	5839	6772
463	5844	6751
464	5850	6730
465	5854	6708
466	5859	6687
467	5865	6667
468	5870	6646
469	5875	6625
470	5881	6605
471	5885	6584
472	5890	6563
473	5896	6543
474	5900	6522
475	5906	6501
476	5913	6483
477	5919	6464
478	5925	6444
479	5930	6424
480	5935	6404
481	5941	6385
482	5946	6365
483	5951	6345
484	5959	6327
485	5964	6308
486	5971	6290
487	5977	6271
488	5983	6253
489	5989	6234
490	5995	6214
491	5999	6194
492	6004	6175
493	6010	6156
494	6021	6142
495	6027	6124
496	6035	6108
497	6039	6088
498	6044	6068
499	6050	6050
500	6055	6031
501	6061	6013
502	6067	5995
503	6072	5976
504	6081	5961
505	6086	5942
506	6095	5927
507	6100	5908
508	6107	5891
509	6114	5875
510	6120	5857
511	6128	5840
512	6133	5822
513	6141	5806
514	6147	5788
515	6152	5770
516	6157	5752
517	6162	5734
518	6168	5716
519	6174	5699
520	6180	5682
521	6187	5666
522	6192	5648
523	6202	5633
524	6208	5616
525	6219	5604
526	6225	5587
527	6230	5569
528	6236	5552
529	6240	5534
530	6248	5519
531	6254	5502
532	6262	5487
533	6269	5471
534	6281	5459
535	6302	5455
536	6317	5447
537	6324	5430
538	6329	5413
539	6335	5396
540	6341	5379
541	6346	5362
542	6353	5347
543	6358	5329
544	6363	5312
545	6369	5296
546	6374	5279
547	6379	5261
548	6388	5247
549	6393	5231
550	6401	5216
551	6408	5201
552	6414	5184
553	6419	5167
554	6424	5150
555	6430	5135
556	6436	5119
557	6442	5103
558	6448	5087
559	6453	5070
560	6460	5055
561	6465	5038
562	6470	5022
563	6477	5007
564	6482	4991
565	6489	4975
566	6493	4959
567	6498	4942
568	6506	4928
569	6510	4911
570	6515	4895
571	6522	4880
572	6543	4876
573	6557	4866
574	6571	4856
575	6576	4841
576	6583	4826
577	6588	4810
578	6595	4796
579	6600	4779
580	6605	4763
581	6615	4751
582	6620	4735
583	6626	4720
584	6632	4704
585	6637	4689
586	6642	4673
587	6647	4657
588	6653	4642
589	6662	4629
590	6667	4614
591	6673	4599
592	6681	4585
593	6691	4573
594	6697	4559
595	6703	4543
596	6709	4529
597	6715	4514
598	6720	4499
599	6725	4483
600	6731	4469
601	6737	4454
602	6742	4439
603	6749	4425
604	6754	4409
605	6767	4399
606	6773	4385
607	6784	4374
608	6794	4362
609	6802	4348
610	6815	4338
611	6820	4323
612	6826	4309
613	6831	4294
614	6836	4279
615	6842	4265
616	6847	4250
617	6851	4235
618	6858	4221
619	6862	4206
620	6871	4193
621	6876	4178
622	6881	4163
623	6886	4149
624	6891	4134
625	6896	4120
626	6902	4106
627	6907	4091
628	6911	4076
629	6918	4062
630	6922	4048
631	6926	4033
632	6932	4019
633	6938	4005
634	6943	3991
635	6949	3977
636	6954	3962
637	6962	3950
638	6967	3936
639	6971	3921
640	6980	3909
641	6984	3895
642	6997	3884
643	7002	3870
644	7012	3859
645	7020	3847
646	7026	3833
647	7031	3819
648	7040	3807
649	7044	3793
650	7049	3779
651	7056	3766
652	7061	3752
653	7066	3738
654	7072	3725
655	7078	3711
656	7085	3699
657	7094	3687
658	7101	3674
659	7107	3661
660	7112	3647
661	7119	3634
662	7125	3621
663	7131	3608
664	7136	3595
665	7142	3582
666	7149	3569
667	7154	3555
668	7160	3542
669	7166	3529
670	7171	3516
671	7177	3503
672	7182	3489
673	7187	3476
674	7194	3464
675	7199	3450
676	7205	3437
677	7211	3425
678	7216	3411
679	7223	3399
680	7230	3386
681	7236	3374
682	7242	3361
683	7248	3348
684	7254	3335
685	7259	3322
686	7266	3310
687	7271	3297
688	7276	3284
689	7282	3271
690	7287	3258
691	7293	3246
692	7299	3233
693	7304	3220
694	7310	3208
695	7316	3195
696	7320	3182
697	7327	3170
698	7331	3157
699	7336	3144
700	7343	3132
701	7348	3119
702	7353	3106
703	7359	3094
704	7364	3081
705	7368	3068
706	7375	3056
707	7380	3044
708	7386	3031
709	7391	3019
710	7396	3006
711	7406	2995
712	7412	2983
713	7421	2972
714	7426	2960
715	7432	2948
716	7437	2935
717	7442	2923
718	7449	2911
719	7454	2899
720	7459	2886
721	7465	2874
722	7469	2861
723	7473	2849
724	7479	2837
725	7484	2824
726	7490	2812
727	7496	2801
728	7502	2788
729	7509	2777
730	7515	2765
731	7524	2754
732	7530	2742
733	7539	2732
734	7545	2720
735	7551	2708
736	7557	2697
737	7563	2685
738	7570	2673
739	7576	2661
740	7586	2651
741	7590	2639
742	7595	2627
743	7602	2615
744	7609	2604
745	7615	2593
746	7621	2581
747	7626	2569
748	7633	2558
749	7639	2546
750	7648	2535
751	7655	2524
752	7661	2513
753	7666	2501
754	7671	2489
755	7676	2477
756	7684	2466
757	7691	2455
758	7696	2443
759	7700	2431
760	7707	2420
761	7712	2408
762	7717	2397
763	7723	2385
764	7727	2373
765	7733	2362
766	7740	2351
767	7745	2339
768	7753	2329
769	7758	2317
770	7762	2305
771	7769	2294
772	7774	2283
773	7778	2271
774	7785	2260
775	7789	2248
776	7795	2237
777	7801	2226
778	7806	2214
779	7814	2203
780	7819	2192
781	7825	2181
782	7830	2170
783	7835	2158
784	7843	2148
785	7848	2136
786	7856	2126
787	7864	2115
788	7875	2106
789	7881	2095
790	7889	2084
791	7894	2073
792	7899	2062
793	7905	2051
794	7911	2040
795	7917	2028
796	7922	2017
797	7927	2006
798	7933	1995
799	7939	1984
800	7944	1973
801	7951	1963
802	7957	1952
803	7967	1942
804	7973	1931
805	7981	1921
806	7987	1910
807	7999	1900
808	8004	1889
809	8010	1879
810	8017	1868
811	8022	1857
812	8030	1847
813	8037	1836
814	8045	1826
815	8050	1815
816	8056	1804
817	8062	1793
818	8066	1782
819	8073	1772
820	8079	1761
821	8085	1750
822	8093	1740
823	8101	1730
824	8107	1719
825	8112	1708
826	8118	1698
827	8123	1687
828	8128	1676
829	8133	1665
830	8138	1655
831	8143	1644
832	8148	1633
833	8153	1622
834	8158	1612
835	8165	1601
836	8170	1591
837	8175	1580
838	8181	1569
839	8187	1559
840	8195	1549
841	8201	1539
842	8207	1528
843	8215	1518
844	8221	1508
845	8227	1497
846	8232	1487
847	8239	1476
848	8244	1466
849	8250	1455
850	8257	1445
851	8261	1435
852	8269	1425
853	8275	1414
854	8280	1404
855	8286	1393
856	8292	1383
857	8297	1373
858	8303	1362
859	8308	1352
860	8316	1342
861	8321	1332
862	8330	1322
863	8334	1311
864	8339	1301
865	8345	1291
866	8350	1281
867	8355	1270
868	8361	1260
869	8366	1250
870	8370	1239
871	8377	1229
872	8382	1219
873	8391	1209
874	8397	1199
875	8402	1189
876	8408	1179
877	8413	1169
878	8418	1158
879	8425	1148
880	8431	1138
881	8438	1128
882	8442	1118
883	8448	1108
884	8455	1098
885	8462	1088
886	8469	1078
887	8475	1068
888	8481	1059
889	8490	1049
890	8498	1039
891	8504	1029
892	8509	1019
893	8517	1009
894	8523	999
895	8529	990
896	8534	980
897	8540	970
898	8547	960
899	8552	950
900	8558	940
901	8563	930
902	8567	920
903	8575	910
904	8580	900
905	8585	890
906	8592	881
907	8598	871
908	8604	861
909	8609	851
910	8615	841
911	8621	831
912	8626	822
913	8632	812
914	8637	802
915	8641	792
916	8647	782
917	8653	772
918	8658	763
919	8664	753
920	8669	743
921	8674	733
922	8682	724
923	8687	714
924	8695	705
925	8700	695
926	8705	685
927	8712	675
928	8717	666
929	8722	656
930	8729	646
931	8735	637
932	8742	627
933	8749	618
934	8758	608
935	8762	599
936	8775	590
937	8781	580
938	8791	571
939	8796	561
940	8805	552
941	8811	542
942	8820	533
943	8825	523
944	8834	514
945	8840	504
946	8852	495
947	8857	485
948	8865	476
949	8871	466
950	8877	457
951	8885	448
952	8892	438
953	8897	429
954	8903	419
955	8910	410
956	8917	400
957	8926	391
958	8934	381
959	8941	372
960	8947	363
961	8954	353
962	8960	344
963	8964	334
964	8972	325
965	8978	316
966	8989	306
967	8995	297
968	9002	287
969	9006	278
970	9011	269
971	9019	259
972	9024	250
973	9034	241
974	9038	231
975	9045	222
976	9051	213
977	9059	203
978	9066	194
979	9071	185
980	9077	175
981	9083	166
982	9089	157
983	9096	147
984	9111	138
985	9118	129
986	9126	120
987	9131	110
988	9139	101
989	9147	92
990	9154	83
991	9159	73
992	9165	64
993	9172	55
994	9178	46
995	9185	36
996	9190	27
997	9196	18
998	9202	9
999	9209	0
